ORIGINTIME,EQLO,EQLA,EQDP,EQMAG,MMILO,MMILA,MMI,MMISC,EQNAME
19180606T1814,152.500,-23.500,-999.0,-999.0,150.692,-24.858,4.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.116,-24.101,4.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.293,-25.313,4.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.443,-25.037,5.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.105,-24.474,5.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.237,-23.866,5.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.756,-23.109,6.0,          ,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.796,-23.246,6.0,E,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.520,-23.381,6.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.392,-23.632,4.5,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,149.500,-22.358,2.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,149.480,-26.644,2.0,C,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,149.191,-26.617,2.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,148.799,-26.564,2.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.241,-27.178,4.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.767,-28.585,2.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.131,-28.850,2.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.175,-26.628,5.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.617,-26.719,5.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.696,-25.533,4.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,149.100,-21.150,4.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,149.574,-22.456,3.0,C,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.724,-23.213,6.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.632,-23.492,6.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.626,-23.013,6.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.235,-23.945,6.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,149.397,-23.503,5.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.407,-23.822,5.0,C,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.321,-23.006,5.0,C,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.337,-25.017,5.0,CD,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,153.013,-27.570,5.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,153.448,-28.455,4.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,153.345,-28.974,4.0,E,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.084,-27.979,4.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.814,-26.750,4.0,CD,Bundaberg Earthquake
