latitude,longitude,mercalli_intensity
-30.79044879,121.4866526,4
-31.9551,115.8533,2
-33.83166959,121.9146508,5
-33.84110925,121.9071106,2
-33.70547341,120.8586942,2
-33.87433918,121.8848002,3
-30.74971431,121.4832377,3
-33.86524392,121.8852336,4
-33.83482944,121.8717588,3
-33.76623251,121.863635,4
-30.78600996,121.4700807,3
-33.81652595,121.8884184,3
-31.1952,121.6536,3
-31.20096282,121.6632317,3
-30.73030942,121.4583001,3
-30.78636937,121.4732701,3
-33.87446996,121.8789606,7
-33.75939417,122.5257159,3
-35.00521124,117.9000426,3
-30.77995991,121.4342843,3
-33.8636,121.8767,3
-30.73711826,121.4625152,3
-33.85992857,121.8683535,4
-30.74112926,121.4736402,4
-32.1961,121.778,5
-30.73154137,121.4608374,3
-33.80565787,121.8728852,4
-32.19434924,121.7752602,3
-33.85959675,121.848906,4
-33.83309979,121.9185906,4
-31.9605173,115.8753857,2
-31.94761214,115.848345,2
-33.85710947,121.8914503,3
-33.83482944,121.8717588,5
-31.95052656,115.8604576,2
-37.88272723,147.9745288,2
-33.8283233,121.9084255,4
-31.96054577,115.8712444,2
-31.89629955,116.0118262,2
-31.95986964,115.8709321,3
-38.09959574,144.3742654,2
-31.96751812,115.8167267,3
-32.55187979,115.6889308,2
-31.94971971,115.8463406,2
-30.73747994,121.4615508,3
-35.004,117.878,2
-35.00287735,117.8443383,2
-30.38250445,117.8469151,2
-35.0895299,117.9390501,2
-31.90136406,116.1968323,2
-31.19248865,117.0366525,2
-33.03301847,115.6887517,2
-34.97169937,117.8456305,2
-32.2009495,121.7808605,3
-31.94761214,115.848345,3
-35.00165416,117.869118,2
-33.83425031,121.9143404,4
-31.62386095,117.017583,2
-31.95656898,115.8769258,2
-34.99251968,117.8528508,2
-31.94670382,115.8220098,3
-34.98068921,117.3444102,2
-33.86081033,121.8895853,3
-30.77723477,121.4846401,3
-31.91653692,115.8159593,2
-30.78120853,121.426127,4
-35.00680913,117.8904302,3
-31.9858,122.9407,2
-31.9605173,115.8753857,2
-33.83425654,121.9095481,4
-33.86633545,121.8852238,4
-33.64491444,121.8013338,4
-33.85959675,121.848906,5
-31.96130819,115.8787503,2
-33.6526998,121.8227004,2
-33.87104128,121.8894157,4
-31.94699153,115.8450017,3
-32.19862152,121.7773084,2
-33.86102633,121.8103392,2
-31.20349195,121.6668506,5
-33.83176477,121.9181728,2
-31.22748987,119.3219705,2
-31.21134374,121.6137652,5
-33.85347898,121.8905872,3
-35.01073957,117.7232806,4
-35.00256243,117.8951966,2
-31.95247501,115.8574881,2
-33.78773766,121.8688694,7
-34.94248261,117.9407725,3
-31.19460753,121.6605371,4
-35.02752979,117.8839594,3
-33.87104128,121.8894157,4
-31.95009711,115.8653228,3
-34.99620537,117.9149973,4
-33.86209741,121.789584,4
-31.95269912,115.8719703,2
-31.21235324,121.6145004,3
-33.51616287,121.9917016,3
-33.51616287,121.9917016,3
-33.82689987,121.9167001,3
-33.82074621,121.8408587,2
-31.9743726,115.7809608,2
-33.85965296,121.8730587,4
-30.77995991,121.4342843,3
-31.94706091,115.8260185,5
-35.03092201,117.8986381,3
-33.8736595,121.88647,4
-34.50973832,117.6585608,3
-35.02239603,117.526531,2
-33.41421046,121.1153521,2
-33.86670961,121.8863704,4
-31.95659754,115.8652046,4
-33.87259734,121.8653013,3
-33.85036894,121.8619092,4
-32.98284424,121.6414196,4
-31.98832843,115.7829998,2
-31.9546394,115.8602689,3
-31.20618565,121.6264281,4
-31.95065917,115.8531802,3
-30.78064541,121.4256991,3
-32.24106681,120.8819888,2
-32.42073,119.6915,3
-31.77452057,119.2496346,3
-35.02714915,117.8855542,2
-31.95266976,115.8518306,2
-35.0058661,117.8901616,2
-32.01422504,115.8480612,3
