latitude,longitude,mercalli_intensity
-31.20259855,121.6661811,4
-31.95028997,115.8433906,2
-33.83179913,120.2755956,4
-35.0058661,117.8901616,2
-33.8263305,121.9177268,4
-31.9684,115.8165,2
-33.85719221,121.8482457,2
-35.00270388,117.9025091,3
-32.20495912,121.7808605,4
-33.83741278,121.9132785,4
-30.75436981,121.4704304,4
-31.92008385,115.8853956,2
-30.75518027,121.4807609,2
-34.97866693,117.942098,3
-34.97264435,117.8514293,3
-31.97140922,115.8527412,2
-30.75463534,121.4686187,3
-34.39245916,119.3760706,3
-31.95089937,115.8358304,2
-31.1952,121.6536,2
-31.21246088,121.6187998,3
-33.86140912,121.8827807,4
-29.3444,121.8664,2
-31.9748797,115.8565297,2
-34.94691272,117.908892,2
-33.83792168,121.903103,5
-35.00815,117.858466,2
-30.78686935,121.47373,4
-32.1562117,115.9286239,3
-31.95052656,115.8604576,2
-32.19565916,121.7804104,7
-34.39245916,119.3760706,3
-30.73038949,121.4607101,2
-31.94775715,115.840727,2
-31.9539,115.852,3
-35.02167012,117.824139,2
-30.73012424,121.4681098,2
-31.94614323,115.8555702,3
-31.97071711,115.8486908,3
-30.77697404,121.4860788,3
-31.49035805,118.2818365,2
-31.97261018,115.824403,2
-31.1952,121.6536,3
-31.95052656,115.8604576,3
-31.208576,121.6160331,3
-30.77149988,121.4786302,3
-31.95009158,115.8168605,2
-33.85219707,121.8780705,3
-33.83679189,121.8985153,4
-33.06834859,121.4718022,3
-33.82920718,121.8994209,4
-30.78679996,121.4712301,4
-34.9525,117.9267,2
-31.96454597,115.8165363,3
-31.9526,115.8575,3
-30.8161,119.5202,3
-31.95039761,115.8342975,2
-31.95582977,115.8564701,2
-33.81596729,121.8386863,4
-33.86927,121.8760701,4
-31.98101866,115.8906327,3
-33.8612899,121.8865003,3
-31.94952221,115.8674189,2
-33.85583641,121.7687852,4
-31.95052656,115.8604576,2
-30.78273963,121.4856708,2
-33.94374912,120.1324307,2
-33.86072943,121.8911905,4
-34.96096215,117.9374383,3
-30.77995991,121.4342843,4
-31.95216,115.913474,3
-33.83032944,121.9169305,4
-33.86411986,121.8764402,3
-31.91924762,115.821784,2
-33.85460958,121.8991902,4
-31.95427468,115.8464518,2
-31.94282498,115.841952,3
-33.82257976,121.9189536,3
-31.21742178,121.6170898,4
-33.82704101,121.9076079,5
-33.88510954,122.3724924,3
-33.76623696,121.9889963,3
-30.77628016,121.4236201,4
-34.99943932,117.8364503,3
-34.99929494,117.8279074,3
-33.94475177,120.1252158,3
-33.86665979,121.8845306,4
-31.20128308,121.6644887,3
-33.82244009,121.9172277,4
-31.94565493,115.8416291,2
-31.95299626,115.8532834,2
-34.96353932,117.9290627,3
-30.75071132,121.4690226,3
-31.94702533,115.860607,3
-31.95863749,115.8962505,2
-31.95559313,115.8565644,2
-31.97766221,115.8506915,3
-31.94702533,115.860607,2
-30.94993999,121.1636708,4
-30.7920323,121.4589261,7
-35.02241116,117.7239696,4
-35.00270388,117.9025091,2
-34.74132814,117.6522818,4
-30.73154137,121.4608374,3
-30.75938668,121.4811629,4
-34.96560585,117.9275531,2
-33.72051428,121.8616655,2
-33.82704101,121.9076079,4
-31.95759305,115.9040037,2
-32.20395916,121.7799006,3
-33.83287677,121.9030772,3
-32.98261282,121.6433796,5
-33.85971328,121.8928628,2
-31.94977931,115.855197,3
-34.7970011,117.7141724,2
-30.76968946,121.4578303,3
-31.94201718,115.8389922,3
-31.94702587,115.8606069,2
-31.95386989,115.8520406,3
-31.86624719,116.5418732,2
-30.71879299,121.4550128,3
-35.08915802,117.9344017,3
-33.87221303,121.879517,4
-33.83962977,121.9018404,4
-31.98308414,122.9410436,4
-34.97990099,116.7308217,2
-31.94871824,115.8421345,3
-30.78198515,121.4497583,4
-33.83553919,121.9130303,3
-30.74453926,121.4597902,3
-31.20552468,121.6687623,3
-30.78530068,121.4743646,3
-30.77723477,121.4846401,3
-32.03630953,115.9889806,2
-30.95043997,121.1605206,2
-31.98308414,122.9410436,4
-33.86081033,121.8895853,4
-33.8285377,121.9078268,4
-31.94195373,115.7956663,2
-34.94710142,117.9395468,2
-35.00365979,117.8612704,4
-33.85203427,121.8671409,5
-34.90096743,117.0686351,2
-30.72665125,121.4555122,3
-33.74308695,121.5727569,2
-32.09294347,115.98228,2
-33.86081033,121.8895853,3
-34.98348055,117.8715413,2
-30.75329957,121.4696404,2
-33.61962822,121.6498784,4
-33.83453676,121.9071684,3
-30.74863322,121.4527207,4
-31.49035805,118.2818365,3
-30.73754705,121.4567906,3
-33.85563448,121.8761205,4
-35.01128584,117.8720386,3
-33.79365438,121.9222311,2
-35.00477985,117.9103707,2
-33.83172974,115.9219007,2
-33.82146945,121.9127942,3
-34.96596651,117.9280283,2
-31.95583724,115.8931308,3
-33.8838472,121.8572424,4
-30.75789991,121.4596203,2
-33.94654431,120.1221787,3
-31.95183628,115.8598686,2
-32.09060739,121.9874084,4
-31.21076814,121.6153665,3
-31.94670382,115.8220098,2
-33.83348526,121.917881,4
-30.81469568,119.5216723,2
-34.97615115,117.9406115,2
-33.87073969,121.8786803,4
-34.95961713,117.8994227,5
-30.75907977,121.4736503,2
-31.22699781,121.6947074,3
-33.94319932,120.1258206,5
-33.41421046,121.1153521,4
-34.2486395,116.1451201,3
-33.80565787,121.8728852,4
-33.95495239,116.1448105,3
-33.83301484,121.9082647,3
-31.9549,115.857,3
