lat,lon,mmi
-30.75428796,121.4634493,3
-30.71924142,121.454781,2
-30.74976479,121.4557738,2
-30.73283601,121.4491581,2
-30.73283601,121.4491581,2
-30.73197928,121.4589602,2
-30.7425598,121.4764701,2
-30.73335882,121.4607858,3
-30.74325471,121.463943,4
-30.78040878,121.4511737,4
-30.73115992,121.4587102,2
-30.71886014,121.448601,2
-30.7544392,121.4742505,4
-30.75863743,121.4824254,3
-30.73047934,121.4575403,2
-30.73424219,121.4617884,2
-30.7198903,121.4482505,4
-30.73259198,121.4557631,2
-30.73047563,121.4600572,4
-30.7198903,121.4482505,4
-30.75512957,121.4695905,3
-30.71853411,121.4484891,2
-30.75512957,121.4695905,3
-30.77902368,121.4911584,4
-30.73711826,121.4625152,4
-30.76675345,121.4727802,2
-30.75799777,121.4793295,3
-30.78470465,121.4693989,3
-30.72048598,121.4476706,3
-30.78197181,121.4721566,4
-30.73121311,121.4689923,4
-30.72075143,121.4521362,3
-30.71907946,121.4520904,3
-30.77723477,121.4846401,4
-30.75428796,121.4634493,3
-30.77326086,121.4512822,2
-30.71942998,121.4497204,2
