lat,lon,mmi
-30.82226972,152.9923646,7
-30.91307764,153.0653043,5
-30.91231397,153.0420629,3
-30.80717634,152.8909228,4
-31.05983523,152.8299763,4
-30.89628652,153.0248941,4
-30.70282568,152.9432898,4
-30.89086326,153.0501439,4
-30.75011821,152.9968855,5
-30.71185467,152.9242016,4
-31.28807633,152.7086634,3
-30.73317496,152.9610257,5
-31.43153034,152.8999882,4
-30.74924526,152.9902216,3
-31.48489023,152.7293103,4
-30.9061491,153.041687,4
-30.74999722,152.9901215,5
-30.70819773,152.9863305,5
-30.29153046,153.1168191,2
-30.74841454,152.9924364,5
-30.45217949,152.8947785,4
-30.63899648,153.0129942,3
-30.89110862,153.0556133,4
-30.5932453,152.9378349,4
-30.30196413,153.0022338,2
-31.43471259,152.91467,3
-30.64482631,153.0125005,4
-30.76680326,152.9860965,5
-30.70316229,152.9240648,4
-30.73186185,152.8414746,4
-30.50119526,151.6465447,4
-30.64780128,152.9937539,2
-30.89482269,152.9331752,4
-31.05675496,152.8683258,3
-30.46734613,152.9380231,3
-30.51557003,153.0211182,3
-30.70557735,152.9273092,4
-30.6785589,152.9655745,4
-30.70713778,152.9223761,4
-30.63426112,152.856845,5
-30.8889016,153.045427,7
-30.57389298,152.7140307,4
-31.1001633,152.8371341,3
-30.64106655,153.0033992,3
-30.716834,152.9231225,3
-31.07614472,152.9024899,4
-30.48958809,152.8901835,3
-30.35620572,153.1007824,3
-30.70819773,152.9863305,5
-30.64142076,152.9969282,3
-30.45848795,152.8964252,3
-30.56379586,152.9460103,4
-31.0593198,153.0562033,4
-30.70764053,152.9235604,4
-31.46296943,152.8783788,2
-31.07923998,152.8317788,3
-30.95114813,152.9723989,4
-30.64657583,152.9900268,5
-30.82047561,152.9793088,4
-31.25810321,152.7278437,4
-31.08030469,152.8414275,3
-30.51426856,151.6672982,2
-30.52204492,153.0174211,3
-30.89327152,153.0233025,3
-31.08108322,152.8376662,3
-30.74642085,152.9894214,4
-31.17117996,152.9467736,2
-30.89615709,153.0389787,3
-31.42223624,152.6741408,3
-30.71551081,152.9147454,5
-30.82426357,152.9845772,3
-30.60034417,153.0050835,5
-30.31385338,153.093321,2
-30.88983382,153.0251455,4
-31.05836911,152.7645136,3
-30.45126227,152.8968362,3
-30.63621813,152.9826209,4
-30.51145729,151.6869158,2
-30.33448064,152.7038594,3
-31.45489883,152.893098,2
-31.33770772,152.7615589,3
-30.71896046,152.9656613,7
-30.87818051,152.9890441,4
-30.64162967,153.008719,3
-31.36640938,152.6244463,3
-30.48639298,153.0112766,4
-30.90737147,153.0603241,7
-30.8960702,153.0363423,2
-30.89235608,153.0591026,4
-31.45413172,152.7275835,2
-31.41978795,152.6616974,4
-30.2952038,153.1135719,2
-30.58955191,153.0060399,3
-31.08020519,152.8293858,2
-30.88828503,153.0396094,5
-30.88923156,153.0405524,5
-31.43108285,152.918322,2
-30.82161053,152.8934644,3
-30.7215051,152.9172926,4
-30.29756046,153.1152693,4
-30.71794919,152.9148379,4
-31.43098715,152.9138167,2
-30.8843539,153.0403709,3
-30.89254202,153.0412386,4
-30.82143083,152.9893196,3
-30.64206397,153.0024795,4
-30.90052478,153.0379852,5
-30.50156141,151.6661989,5
-31.42403227,152.8968138,5
-30.65186072,152.8514173,3
-31.49321373,152.7329525,4
-30.53130791,151.7177455,2
-31.45489883,152.893098,4
-30.89327152,153.0233025,2
-31.07896509,152.8511294,4
-30.5932453,152.9378349,4
-30.64206468,153.0024803,3
-30.89060526,153.0234351,5
-30.74344589,152.8849764,3
-30.73321499,152.8346137,5
-30.6385054,152.8422138,2
-30.89811741,153.0416007,4
-30.4627787,151.6013499,2
-31.4430581,152.8933061,2
-30.61309097,152.9987857,5
-31.0191743,152.9431939,4
-30.63835239,152.9812838,5
-30.63238318,153.0122756,2
-30.8960702,153.0363423,4
-31.47223417,152.9335073,3
-30.74999722,152.9901215,2
-30.29861134,153.1093919,2
-30.7215051,152.9172926,7
-31.47219512,152.9282166,2
-31.07824606,152.8829284,4
-30.58708839,153.0057816,2
-31.05983523,152.8299763,3
-30.64342868,152.9950039,3
-31.46676145,152.9156706,3
